x, y
0.0212, 9327.59417
0.02262, 9216.04327
0.02391, 9434.85718
0.02523, 8799.98681
0.02686, 9303.31816
0.02828, 9163.73112
0.02982, 9006.53077
0.03186, 8469.62201
0.03347, 8737.91147
0.03569, 8416.51824
0.0377, 8323.17435
0.04007, 7923.54377
0.04236, 7462.29962
0.04507, 7138.2677
0.0477, 6683.88416
0.05075, 6136.22271
0.05345, 5337.02751
0.0568, 5023.2865
0.05999, 4284.18761
0.06412, 3101.06208
0.06802, 2000.3958
0.07294, 1602.08457
0.07701, 878.22416
0.08129, -24.73778
0.08583, 157.26631
0.09127, 295.3361
0.09786, 652.61561
0.10393, 1065.30774
0.1106, 1434.98912
0.11779, 1996.50373
0.12557, 2176.79266
0.13405, 2860.34699
0.14278, 3567.58361
0.15394, 4431.75671
0.16357, 5130.48354
0.17481, 5819.97493
0.1874, 6383.7984
0.20203, 6911.9335
0.20522, 7253.71067
0.21383, 7380.30213
0.22899, 7430.70123
0.24757, 7726.30121
0.26354, 8057.98536
0.28471, 8353.12356
0.30815, 8701.95923
0.3299, 9017.01959
